"order_id","region","destination_city","category","payment_method","sales_amount","quantity","return_status","customer_type","order_date","discount_pct"
ORD-100000,Northeast,New York,Beauty,Apple Pay,44.59000,1,Not Returned,New,2024-12-13,10
ORD-100001,Northeast,Boston,Fashion,Credit Card,47.42000,1,Not Returned,Loyal,2025-05-16,10
ORD-100002,West,San Francisco,Beauty,Credit Card,172.76000,4,Not Returned,Loyal,2024-04-19,5
ORD-100003,Northeast,Buffalo,Fashion,Debit Card,189.15000,3,Returned,Returning,2025-10-30,0
ORD-100004,Northeast,Philadelphia,Electronics,Credit Card,705.43000,3,Not Returned,Returning,2025-05-17,5
ORD-100005,South,Houston,Sports,Debit Card,53.81000,1,Not Returned,Returning,2024-02-27,5
ORD-100006,Northeast,Pittsburgh,Home,,103.74000,1,Not Returned,Returning,2024-11-02,15
ORD-100007,West,Phoenix,Home,Debit Card,68.47000,1,Not Returned,Returning,2024-05-17,0
ORD-100008,West,Las Vegas,Toys,Paypal,81.41000,2,Not Returned,Returning,2025-04-19,20
ORD-100009,Midwest,Chicago,Home,Debit Card,406.34000,3,Not Returned,Loyal,2025-06-05,5
ORD-100010,West,Seattle,Electronics,Apple Pay,207.37000,1,Not Returned,Returning,2024-12-12,15
ORD-100011,South,Nashville,Electronics,Paypal,97.83000,1,,Returning,2024-07-30,
ORD-100012,South,Atlanta,Toys,Debit Card,19.44000,1,Not Returned,New,2025-09-11,10
ORD-100013,Midwest,Detroit,Sports,Debit Card,144.10000,1,Returned,New,2024-01-18,15
ORD-100014,West,Las Vegas,Pet Supplies,,92.55000,1,Exchange,Returning,2025-06-13,15
ORD-100015,West,San Diego,Electronics,Gift Card,196.49000,2,Returned,New,2025-12-21,0
ORD-100016,Northeast,Newark,Home,Paypal,180.12000,2,Not Returned,Returning,2025-11-03,15
ORD-100017,West,San Francisco,Electronics,Credit Card,117.12000,1,Not Returned,Loyal,2025-11-17,5
ORD-100018,Northeast,Buffalo,Home,Paypal,39.69000,1,Not Returned,Loyal,2025-11-09,0
ORD-100019,Midwest,Columbus,Toys,Debit Card,45.66000,1,Not Returned,New,2025-01-20,5
ORD-100020,Northeast,Philadelphia,Fashion,Credit Card,100.75000,1,Not Returned,Returning,2025-03-03,5
ORD-100021,South,Atlanta,Electronics,Credit Card,215.86000,2,Returned,Returning,2025-05-03,
ORD-100022,Midwest,Chicago,Toys,Apple Pay,49.42000,1,Not Returned,Returning,2025-12-26,25
ORD-100023,Midwest,Minneapolis,Fashion,Debit Card,45.63000,1,Not Returned,Returning,2025-05-30,0
ORD-100024,Midwest,Minneapolis,Fashion,,115.34000,2,Not Returned,Loyal,2025-05-19,0
ORD-100025,South,Atlanta,Beauty,Credit Card,22.07000,1,Not Returned,Returning,2024-03-29,15
ORD-100026,West,San Diego,Fashion,Credit Card,58.39000,1,Not Returned,Returning,2024-06-02,15
ORD-100027,South,Atlanta,Home,Credit Card,56.01000,1,,Returning,2025-05-29,10
ORD-100028,Midwest,St. Louis,Fashion,Credit Card,194.32000,2,Returned,Returning,2024-12-13,20
ORD-100029,West,Las Vegas,Home,Debit Card,125.60000,1,Not Returned,New,2025-12-06,15
ORD-100030,Northeast,Newark,Sports,Debit Card,245.32000,2,Not Returned,Loyal,2025-11-03,10
ORD-100031,South,Dallas,Home,Debit Card,110.63000,1,Not Returned,Returning,2025-08-14,0
ORD-100032,Northeast,Buffalo,Fashion,,34.24000,1,Not Returned,Loyal,2025-06-02,15
ORD-100033,West,San Diego,Fashion,Paypal,66.29000,1,Not Returned,Returning,2024-05-05,10
ORD-100034,Northeast,Boston,Beauty,Apple Pay,41.03000,2,Not Returned,Returning,2025-02-05,0
ORD-100035,Northeast,Pittsburgh,Pet Supplies,Paypal,99.82000,1,Not Returned,Returning,2025-12-06,5
ORD-100036,West,Seattle,Electronics,Credit Card,203.77000,2,Not Returned,New,2024-09-11,20
ORD-100037,Midwest,Chicago,Fashion,Debit Card,44.98000,1,Not Returned,New,2024-08-09,5
ORD-100038,Northeast,Pittsburgh,Sports,Credit Card,141.17000,1,Not Returned,New,2024-01-07,10
ORD-100039,Northeast,Newark,Electronics,Credit Card,370.90000,4,Not Returned,Returning,2024-08-19,20
ORD-100040,Midwest,Detroit,Beauty,Credit Card,44.75000,1,,Returning,2025-12-08,15
ORD-100041,West,San Diego,Fashion,Credit Card,177.93000,2,Returned,Returning,2025-09-19,15
ORD-100042,Midwest,Detroit,Electronics,Apple Pay,121.44000,1,Not Returned,New,2024-04-10,0
ORD-100043,South,Atlanta,Electronics,Credit Card,212.83000,2,Not Returned,New,2025-04-08,10
ORD-100044,Northeast,Boston,Fashion,Paypal,213.11000,3,Not Returned,Returning,2024-05-12,0
ORD-100045,Midwest,Minneapolis,Office Supplies,Debit Card,43.40000,2,Not Returned,New,2024-07-23,15
ORD-100046,South,Nashville,Pet Supplies,Debit Card,23.50000,1,Exchange,Returning,2025-03-09,20
ORD-100047,South,Houston,Electronics,Credit Card,103.87000,1,Not Returned,New,2025-07-02,20
ORD-100048,South,Charlotte,Electronics,Paypal,277.20000,2,Not Returned,New,2024-02-16,15
ORD-100049,Northeast,Philadelphia,Home,Debit Card,146.99000,3,Not Returned,New,2025-04-08,0
ORD-100050,West,Las Vegas,Home,Paypal,43.71000,1,Not Returned,Returning,2024-10-21,0
ORD-100051,South,Miami,Toys,Buy Now Pay Later,259.42000,5,Returned,Returning,2024-12-18,20
ORD-100052,West,San Diego,Fashion,Credit Card,74.12000,1,Not Returned,Returning,2025-03-25,10
ORD-100053,Northeast,Boston,Home,Credit Card,105.73000,1,Not Returned,Returning,2024-07-17,20
ORD-100054,West,San Francisco,Home,Credit Card,154.00000,2,Returned,Returning,2024-07-22,15
ORD-100055,South,,Fashion,Credit Card,82.29000,1,Not Returned,Returning,2024-06-09,5
ORD-100056,Midwest,Detroit,Fashion,Paypal,25.14000,1,Returned,Returning,2025-09-19,15
ORD-100057,West,San Francisco,Electronics,Paypal,132.28000,1,Not Returned,Loyal,2025-09-07,10
ORD-100058,Midwest,Columbus,Fashion,Credit Card,63.68000,1,Not Returned,Returning,2025-09-20,0
ORD-100059,South,Atlanta,Sports,Apple Pay,42.38000,1,Not Returned,Returning,2024-11-28,15
ORD-100060,Northeast,Philadelphia,Electronics,Debit Card,364.37000,2,Not Returned,Returning,2025-04-25,
ORD-100061,West,Los Angeles,Electronics,Credit Card,109.71000,1,Not Returned,Returning,2024-11-30,10
ORD-100062,Midwest,Indianapolis,Home,Debit Card,942.23000,4,Not Returned,Returning,2025-04-14,10
ORD-100063,South,Nashville,Office Supplies,Credit Card,29.39000,1,Not Returned,Returning,2025-06-02,10
ORD-100064,Northeast,Buffalo,Fashion,Buy Now Pay Later,264.72000,3,Not Returned,Returning,2025-05-10,5
ORD-100065,Northeast,Boston,Electronics,Credit Card,107.01000,1,Not Returned,New,2025-11-22,5
ORD-100066,South,Charlotte,Electronics,Apple Pay,96.38000,1,Not Returned,New,2024-05-03,10
ORD-100067,South,Atlanta,Pet Supplies,,42.42000,1,Returned,Returning,2024-11-29,5
ORD-100068,West,San Francisco,Office Supplies,Debit Card,108.62000,4,Not Returned,Returning,2024-07-16,5
ORD-100069,Northeast,New York,Fashion,Credit Card,212.76000,2,Not Returned,Loyal,2024-03-29,0
ORD-100070,South,Nashville,Fashion,Paypal,275.00000,3,Not Returned,Returning,2024-12-26,20
ORD-100071,Midwest,Detroit,Office Supplies,Paypal,60.58000,2,Not Returned,Returning,2024-08-28,20
ORD-100072,Midwest,,Fashion,Paypal,109.15000,1,Not Returned,Returning,2024-06-15,20
ORD-100073,Northeast,Boston,Home,Credit Card,641.42000,5,Not Returned,New,2025-12-20,15
ORD-100074,West,San Diego,Fashion,Credit Card,64.97000,1,Not Returned,Returning,2024-06-28,5
ORD-100075,West,San Francisco,Sports,Credit Card,201.00000,2,Not Returned,Loyal,2024-05-02,15
ORD-100076,West,Las Vegas,Electronics,Credit Card,142.50000,1,Not Returned,Returning,2024-11-05,20
ORD-100077,West,Las Vegas,Electronics,Buy Now Pay Later,420.49000,3,Not Returned,New,2025-07-13,5
ORD-100078,West,San Francisco,Sports,Credit Card,79.21000,1,Not Returned,Returning,2024-05-05,0
ORD-100079,Midwest,Minneapolis,Toys,Apple Pay,110.77000,3,Not Returned,Returning,2025-06-13,5
ORD-100080,West,Phoenix,Electronics,,187.91000,1,Not Returned,Returning,2025-11-16,25
ORD-100081,West,Las Vegas,Electronics,Credit Card,102.74000,2,Not Returned,Returning,2024-09-05,20
ORD-100082,Midwest,Indianapolis,Home,Paypal,33.34000,1,Not Returned,Returning,2025-10-27,15
ORD-100083,Northeast,Boston,Home,Gift Card,352.89000,3,Not Returned,Returning,2024-07-28,10
ORD-100084,South,Miami,Beauty,Buy Now Pay Later,46.80000,1,Returned,New,2024-02-03,0
ORD-100085,Midwest,Columbus,Electronics,Credit Card,265.86000,2,Returned,New,2025-12-04,20
ORD-100086,West,Seattle,Fashion,Credit Card,184.93000,2,Not Returned,Returning,2024-10-10,20
ORD-100087,South,Atlanta,Beauty,Paypal,131.07000,2,Not Returned,Returning,2024-11-10,20
ORD-100088,West,San Diego,Home,Credit Card,138.61000,2,Not Returned,New,2024-02-08,10
ORD-100089,Midwest,Indianapolis,Home,Gift Card,137.11000,1,Not Returned,Loyal,2025-03-30,0
ORD-100090,West,Los Angeles,Office Supplies,Credit Card,24.29000,1,Not Returned,Returning,2025-10-22,15
ORD-100091,Midwest,St. Louis,Electronics,Debit Card,83.58000,1,Not Returned,Returning,2024-05-03,5
ORD-100092,Midwest,St. Louis,Home,Credit Card,65.53000,1,Not Returned,Returning,2025-10-08,0
ORD-100093,Northeast,Boston,Beauty,Credit Card,49.76000,1,Not Returned,Returning,2024-07-09,15
ORD-100094,West,San Francisco,Home,Debit Card,37.28000,1,Not Returned,Returning,2024-04-11,10
ORD-100095,West,San Francisco,Beauty,Debit Card,77.65000,2,Not Returned,Returning,2025-08-08,0
ORD-100096,South,Nashville,Sports,Credit Card,453.64000,3,Not Returned,Returning,2024-11-21,15
ORD-100097,Midwest,,Beauty,Credit Card,43.88000,1,Not Returned,Returning,2024-08-01,0
ORD-100098,West,Seattle,Fashion,Buy Now Pay Later,183.95000,2,Not Returned,Returning,2024-12-19,5
ORD-100099,South,Atlanta,Electronics,Gift Card,932.33000,3,Not Returned,Returning,2025-03-22,0
ORD-100100,West,Los Angeles,Electronics,Debit Card,204.59000,1,Not Returned,Loyal,2025-11-15,30
ORD-100101,West,San Francisco,Beauty,Gift Card,30.72000,1,Not Returned,Returning,2025-04-21,0
ORD-100102,West,San Diego,Fashion,Debit Card,133.16000,2,Not Returned,Returning,2024-06-10,10
ORD-100103,West,Los Angeles,Office Supplies,Credit Card,142.95000,4,Not Returned,New,2025-11-28,10
ORD-100104,West,San Francisco,Electronics,Apple Pay,273.36000,1,Not Returned,Returning,2025-08-05,10
ORD-100105,South,Dallas,Pet Supplies,Debit Card,67.37000,1,Not Returned,Returning,2024-08-17,0
ORD-100106,West,San Francisco,Pet Supplies,Apple Pay,275.35000,3,Returned,Returning,2025-10-15,0
ORD-100107,South,Charlotte,Electronics,Credit Card,54.45000,1,Not Returned,New,2025-02-23,15
ORD-100108,Northeast,Pittsburgh,Home,Debit Card,202.59000,2,Not Returned,Returning,2024-08-09,0
ORD-100109,South,Houston,Electronics,Paypal,143.50000,1,Not Returned,Returning,2024-11-02,30
ORD-100110,Northeast,Newark,Office Supplies,Debit Card,59.67000,1,Not Returned,Returning,2024-12-18,20
ORD-100111,South,Dallas,Toys,Credit Card,84.55000,2,Not Returned,Returning,2025-07-13,15
ORD-100112,West,San Francisco,Home,Gift Card,129.14000,1,Not Returned,Loyal,2024-10-01,0
ORD-100113,West,Phoenix,Pet Supplies,Paypal,80.10000,2,Not Returned,Loyal,2025-05-04,5
ORD-100114,West,San Francisco,Electronics,Credit Card,716.56000,3,Not Returned,Returning,2025-07-12,10
